user_id,age,gender,device,city_level,register_source,interests,consumption_level,register_time,read_days,total_read_time,read_chapters,collect_count,comment_count,share_count,incentive_click_rate,has_paid,first_pay_amount,first_pay_time,day_1_retention,day_3_retention,day_7_retention,incentive_strategy,incentive_value,incentive_effect,actual_day_7_retention,actual_has_paid,optimized_strategy,recommended_incentive,ltv_pred,user_segment,subsidy_strategy,budget_allocation,final_strategy
10,20,男,Android,四线及以下,广告投放,"玄幻,都市",高,2026-02-02 14:18:49.330688,1,119,5,1,5,0,0.6774809915704094,0,0,,1,0,0,内容解锁,3,0.84,0,0,金币,会员,38.47857142857138,中价值用户,中价值补贴策略,5.466559153949148,会员
11,50,男,Android,四线及以下,应用商店,军事,中,2026-02-01 14:18:49.330703,7,427,35,18,6,1,0.41002008668826606,0,0,,0,0,0,金币,567,0.52,0,0,金币,会员,65.4857142857143,高价值用户,高价值补贴策略,9.303399725896762,会员
12,37,女,iOS,三线,广告投放,"玄幻,悬疑,历史",高,2026-02-02 14:18:49.330717,3,216,24,6,10,0,0.5117909575915329,0,0,,1,1,1,无,0,1.0,1,0,金币,会员,273.04285714285686,高价值用户,高价值补贴策略,38.790549511576046,会员
13,28,女,Android,二线,社交分享,"悬疑,职场,历史",高,2026-02-04 14:18:49.330732,0,0,0,9,1,0,0.24341471177700388,0,0,,1,1,0,金币,321,0.588,0,0,金币,金币,23.4,中价值用户,中价值补贴策略,3.3243823627877163,金币
14,36,男,iOS,二线,自然搜索,"军事,言情,都市",中,2026-02-02 14:18:49.330747,3,51,30,20,4,2,0.42029652113458693,0,0,,0,0,0,金币,360,0.52,0,0,金币,金币,94.00000000000013,高价值用户,高价值补贴策略,13.354356500087425,金币
15,37,女,iOS,三线,自然搜索,"悬疑,都市,历史",中,2026-01-30 14:18:49.330761,1,13,5,6,10,3,0.5179460127495321,0,0,,1,1,0,金币,873,0.4,0,0,金币,金币,21.44285714285711,中价值用户,中价值补贴策略,3.046335730491059,金币
16,28,女,Android,二线,广告投放,"科幻,悬疑",中,2026-01-29 14:18:49.330776,2,194,2,2,8,1,0.6969579111318654,0,0,,0,0,0,金币,332,0.6,0,0,金币,会员,30.64999999999995,中价值用户,中价值补贴策略,4.3543726247625365,会员
17,31,男,Android,一线,广告投放,"军事,玄幻,悬疑",高,2026-02-01 14:18:49.330791,6,264,18,3,10,5,0.4683753664140473,0,0,,1,0,0,金币,831,0.728,0,0,金币,会员,102.32142857142856,高价值用户,高价值补贴策略,14.536562071713684,会员
18,36,男,iOS,一线,社交分享,"悬疑,职场,言情",高,2026-02-01 14:18:49.330805,3,267,21,7,3,4,0.3834264911887434,0,0,,1,0,0,内容解锁,3,0.728,0,0,金币,会员,45.714285714285715,中价值用户,中价值补贴策略,6.494519878461962,会员
19,18,女,Android,四线及以下,社交分享,"都市,历史",高,2026-02-01 14:18:49.330819,5,545,10,19,1,4,0.4131922008506862,0,0,,0,0,0,会员,3,1.0919999999999999,0,0,金币,会员,140.87857142857155,高价值用户,高价值补贴策略,20.014283681703965,会员
20,44,女,iOS,二线,自然搜索,科幻,低,2026-02-01 14:18:49.330834,0,0,0,11,5,5,0.3964388426597334,0,0,,0,0,0,无,0,1.0,0,0,金币,金币,10.0,低价值用户,低价值补贴策略,1.4206762234135542,金币
21,36,男,Android,一线,社交分享,"悬疑,玄幻",高,2026-02-01 14:18:49.330848,0,0,0,15,5,0,0.26847385582105193,0,0,,1,1,0,会员,2,0.39199999999999996,0,0,金币,金币,20.0,中价值用户,中价值补贴策略,2.8413524468271083,金币
22,29,男,Android,一线,应用商店,"言情,科幻",中,2026-02-02 14:18:49.330861,2,226,20,9,3,3,0.1289962152858847,0,0,,1,0,0,金币,919,0.6,0,0,金币,会员,27.857142857142826,中价值用户,中价值补贴策略,3.9575980509377535,会员
23,41,男,iOS,四线及以下,自然搜索,职场,中,2026-01-30 14:18:49.330875,3,237,30,2,5,3,0.2515876301099652,0,0,,1,0,0,内容解锁,1,0.52,0,0,金币,会员,44.72857142857141,中价值用户,中价值补贴策略,6.354481793582623,会员
24,43,女,Android,一线,社交分享,"玄幻,职场,军事",高,2026-02-04 14:18:49.330888,2,148,12,1,9,3,0.46371201006010276,0,0,,0,0,0,金币,173,0.5599999999999999,0,0,金币,会员,55.721428571428554,高价值用户,高价值补贴策略,7.916210870606522,会员
25,18,女,iOS,三线,社交分享,"科幻,悬疑",低,2026-02-03 14:18:49.330902,6,102,18,7,1,4,0.6047896117942907,0,0,,1,0,0,金币,658,0.46799999999999997,0,0,金币,会员,43.01428571428573,中价值用户,中价值补贴策略,6.110937298140303,会员
26,25,女,Android,四线及以下,应用商店,"都市,科幻",高,2026-01-29 14:18:49.330916,2,24,12,3,4,0,0.7836205712047545,0,0,,0,0,0,金币,545,0.84,0,0,金币,金币,44.642857142857196,中价值用户,中价值补贴策略,6.342304568810517,金币
27,25,女,iOS,四线及以下,应用商店,"科幻,历史,都市",中,2026-01-30 14:18:49.330929,7,287,63,20,0,0,0.16226632392093726,1,93,2026-02-06 01:18:49.330929,1,1,1,会员,6,0.78,1,1,金币,会员,2840.1142857142863,高价值用户,高价值补贴策略,403.48828374914564,会员
28,31,女,Android,四线及以下,应用商店,"职场,科幻,都市",低,2026-02-04 14:18:49.330946,7,462,70,15,7,4,0.2019176758784979,0,0,,1,1,1,会员,7,0.312,0,0,金币,会员,48.0,中价值用户,中价值补贴策略,6.81924587238506,会员
29,39,男,iOS,三线,应用商店,言情,中,2026-02-01 14:18:49.330959,2,106,8,11,1,1,0.7493654318261491,0,0,,0,0,0,内容解锁,3,0.4,0,0,金币,会员,30.56428571428566,中价值用户,中价值补贴策略,4.34219539999042,会员
30,39,男,Android,三线,广告投放,"悬疑,军事,玄幻",低,2026-02-01 14:18:49.330973,0,0,0,10,7,2,0.28744381364385785,0,0,,1,1,1,金币,433,0.16799999999999998,0,0,金币,会员,10.042857142857143,低价值用户,低价值补贴策略,1.426764835799612,会员
31,30,女,Android,二线,广告投放,"历史,言情",低,2026-02-03 14:18:49.330986,0,0,0,4,0,1,0.7958232186228019,0,0,,1,1,1,无,0,1.0,1,0,金币,会员,77.27142857142853,高价值用户,高价值补贴策略,10.97776813206273,会员
32,23,女,iOS,三线,自然搜索,军事,低,2026-02-03 14:18:49.330999,7,749,49,12,8,4,0.11920834618900669,0,0,,0,0,0,金币,555,0.46799999999999997,0,0,金币,会员,50.41428571428572,高价值用户,高价值补贴策略,7.1622377034663325,会员
33,40,女,iOS,四线及以下,广告投放,军事,高,2026-02-03 14:18:49.331014,2,102,6,6,2,5,0.6101007118358877,0,0,,1,0,0,无,0,1.0,0,0,金币,会员,97.67142857142849,高价值用户,高价值补贴策略,13.875947627826376,会员
34,26,女,iOS,二线,应用商店,"军事,玄幻",中,2026-01-29 14:18:49.331031,5,395,50,10,3,2,0.7661747637011391,0,0,,0,0,0,金币,792,0.78,0,0,金币,会员,56.57142857142861,高价值用户,高价值补贴策略,8.036968349596684,会员
35,42,女,iOS,一线,自然搜索,言情,高,2026-01-29 14:18:49.331046,7,238,35,2,8,1,0.4593684475343537,0,0,,1,0,0,会员,4,0.728,0,0,金币,会员,87.91428571428573,高价值用户,高价值补贴策略,12.489773541267162,会员
36,22,女,iOS,四线及以下,自然搜索,"都市,历史",高,2026-01-29 14:18:49.331064,1,82,9,4,8,4,0.26764864784383435,0,0,,1,0,0,内容解锁,2,0.84,0,0,金币,会员,31.335714285714285,中价值用户,中价值补贴策略,4.451790422939473,会员
37,50,女,Android,三线,社交分享,"职场,都市,历史",高,2026-02-03 14:18:49.331079,6,150,54,6,3,3,0.14032087111653802,0,0,,0,0,0,内容解锁,3,0.728,0,0,金币,会员,169.96428571428555,高价值用户,高价值补贴策略,24.14642195437535,会员
38,19,男,iOS,三线,广告投放,"历史,军事",高,2026-01-30 14:18:49.331092,5,145,20,14,7,0,0.11002075449738419,0,0,,1,1,1,内容解锁,5,1.0919999999999999,1,0,金币,会员,323.3071428571433,高价值用户,高价值补贴策略,45.931477071691276,会员
39,19,女,Android,一线,应用商店,言情,中,2026-02-04 14:18:49.331107,3,36,21,3,2,3,0.7044282031209418,0,0,,0,0,0,金币,243,0.78,0,0,金币,金币,91.83571428571432,高价值用户,高价值补贴策略,13.04688157459148,金币
40,46,女,Android,二线,广告投放,"玄幻,言情",中,2026-02-03 14:18:49.331121,3,117,9,14,6,4,0.4959822549942866,0,0,,1,1,0,内容解锁,4,0.52,0,0,金币,会员,38.028571428571375,中价值用户,中价值补贴策略,5.402628723895536,会员
41,43,男,iOS,二线,应用商店,都市,低,2026-02-02 14:18:49.331135,4,120,8,13,1,4,0.578913267425809,0,0,,1,0,0,无,0,1.0,0,0,金币,会员,29.871428571428623,中价值用户,中价值补贴策略,4.243762833082496,会员
42,46,女,iOS,四线及以下,广告投放,"军事,悬疑,玄幻",低,2026-02-01 14:18:49.331149,6,114,54,18,6,2,0.36763955715962016,0,0,,1,0,0,内容解锁,3,0.312,0,0,金币,金币,42.64285714285718,中价值用户,中价值补贴策略,6.058169324127804,金币
43,22,男,iOS,二线,广告投放,玄幻,中,2026-02-04 14:18:49.331163,4,136,32,19,4,4,0.6770296104064553,0,0,,0,0,0,无,0,1.0,0,0,金币,会员,72.40714285714279,高价值用户,高价值补贴策略,10.286710626245132,会员
44,25,女,iOS,三线,自然搜索,"悬疑,历史",低,2026-01-30 14:18:49.331177,3,315,6,12,8,0,0.20634506646268047,0,0,,0,0,0,会员,7,0.46799999999999997,0,0,金币,会员,27.27142857142854,中价值用户,中价值补贴策略,3.8743870149949595,会员
45,25,女,Android,二线,社交分享,军事,中,2026-02-04 14:18:49.331191,2,176,8,1,2,4,0.7637606677725284,0,0,,1,0,0,内容解锁,1,0.6,0,0,金币,会员,54.50714285714285,高价值用户,高价值补贴策略,7.743700186334879,会员
46,28,男,iOS,二线,广告投放,"悬疑,历史",中,2026-02-04 14:18:49.331205,6,630,48,15,2,3,0.49549652906542074,0,0,,0,0,0,会员,4,0.78,0,0,金币,会员,58.79999999999992,高价值用户,高价值补贴策略,8.353576193671687,会员
47,36,女,iOS,三线,广告投放,"历史,言情",高,2026-02-04 14:18:49.331220,3,96,3,7,8,3,0.219490967123603,0,0,,0,0,0,会员,5,0.728,0,0,金币,会员,93.67142857142855,高价值用户,高价值补贴策略,13.30767713846096,会员
48,20,女,Android,二线,社交分享,职场,高,2026-01-29 14:18:49.331234,6,570,60,13,10,5,0.16606026919848682,0,0,,0,0,0,内容解锁,1,1.0919999999999999,0,0,金币,会员,123.23571428571397,高价值用户,高价值补贴策略,17.50780491610999,会员
49,18,男,Android,四线及以下,社交分享,"职场,悬疑,玄幻",中,2026-01-29 14:18:49.331249,3,315,15,8,3,1,0.37623249382190727,0,0,,1,1,1,内容解锁,1,0.78,1,0,金币,会员,206.10000000000025,高价值用户,高价值补贴策略,29.28013696455339,会员
50,28,女,Android,一线,自然搜索,科幻,高,2026-01-31 14:18:49.331263,3,93,3,5,3,3,0.250814234773341,0,0,,1,1,1,会员,1,1.0919999999999999,1,0,金币,会员,279.8999999999997,高价值用户,高价值补贴策略,39.76472749334534,会员
51,35,男,iOS,四线及以下,广告投放,玄幻,低,2026-01-29 14:18:49.331278,0,0,0,18,3,5,0.6280537088098657,0,0,,0,0,0,会员,6,0.16799999999999998,0,0,金币,金币,10.0,低价值用户,低价值补贴策略,1.4206762234135542,金币
52,30,男,Android,二线,广告投放,"言情,悬疑,都市",低,2026-02-03 14:18:49.331292,7,609,7,17,8,4,0.25508714467985805,0,0,,1,1,0,会员,2,0.312,0,0,金币,会员,40.02142857142857,中价值用户,中价值补贴策略,5.685749199847246,会员
53,38,女,Android,三线,广告投放,历史,中,2026-01-30 14:18:49.331307,2,184,6,11,8,4,0.7420567532673933,0,0,,1,0,0,会员,2,0.4,0,0,金币,会员,35.50714285714279,中价值用户,中价值补贴策略,5.044415361849117,会员
54,45,男,Android,一线,社交分享,职场,低,2026-01-30 14:18:49.331322,5,170,50,12,10,4,0.15418589814097305,0,0,,1,1,0,会员,5,0.312,0,0,金币,会员,36.728571428571456,中价值用户,中价值补贴策略,5.2179408148517865,会员
55,18,男,Android,二线,社交分享,"科幻,言情",中,2026-01-31 14:18:49.331336,3,138,27,5,6,0,0.5707644288045325,0,0,,1,0,0,内容解锁,2,0.78,0,0,金币,会员,37.714285714285666,中价值用户,中价值补贴策略,5.357978899731111,会员
56,20,女,iOS,四线及以下,广告投放,"言情,职场,科幻",低,2026-02-04 14:18:49.331350,3,183,30,14,8,5,0.42726109436258586,0,0,,1,0,0,金币,511,0.46799999999999997,0,0,金币,会员,31.4428571428571,中价值用户,中价值补贴策略,4.467011953904612,会员
57,27,男,Android,二线,广告投放,"科幻,军事,悬疑",高,2026-02-03 14:18:49.331366,3,57,12,2,4,5,0.5250146049526053,0,0,,1,0,0,金币,512,1.0919999999999999,0,0,金币,会员,84.91428571428565,高价值用户,高价值补贴策略,12.063570674243085,会员
58,30,男,iOS,四线及以下,社交分享,"军事,科幻,都市",中,2026-01-31 14:18:49.331380,6,132,42,2,0,0,0.7749771060287249,0,0,,1,0,0,金币,471,0.52,0,0,金币,会员,75.87857142857136,高价值用户,高价值补贴策略,10.779888229515837,会员
59,49,男,Android,四线及以下,应用商店,"职场,玄幻,言情",低,2026-01-29 14:18:49.331394,5,365,30,10,10,4,0.429150257891982,0,0,,1,0,0,内容解锁,4,0.312,0,0,金币,会员,62.22142857142863,高价值用户,高价值补贴策略,8.839650415825345,会员
60,31,男,Android,二线,应用商店,玄幻,中,2026-01-30 14:18:49.331408,6,636,6,18,6,3,0.21007723639698517,0,0,,1,1,0,无,0,1.0,0,0,金币,会员,59.35714285714279,高价值用户,高价值补贴策略,8.432728154690444,会员
61,28,男,iOS,一线,应用商店,"军事,历史",中,2026-02-02 14:18:49.331422,3,153,3,20,9,2,0.2838243836852332,0,0,,1,0,0,内容解锁,3,0.78,0,0,金币,会员,73.55714285714299,高价值用户,高价值补贴策略,10.450088391937719,会员
62,49,男,iOS,二线,自然搜索,言情,低,2026-02-03 14:18:49.331436,1,47,10,4,5,3,0.45407983248372596,0,0,,0,0,0,金币,918,0.24,0,0,金币,金币,18.57142857142854,低价值用户,低价值补贴策略,2.6383987006251677,金币
63,36,男,iOS,三线,应用商店,"历史,科幻",高,2026-02-02 14:18:49.331450,6,246,48,9,5,0,0.4139159972459553,0,0,,0,0,0,无,0,1.0,0,0,金币,会员,88.99285714285716,高价值用户,高价值补贴策略,12.643003619649626,会员
64,43,女,Android,三线,应用商店,"玄幻,职场",高,2026-01-31 14:18:49.331465,5,490,10,12,1,3,0.6843065645063771,0,0,,0,0,0,内容解锁,3,0.728,0,0,金币,会员,75.4285714285715,高价值用户,高价值补贴策略,10.715957799462247,会员
65,19,女,iOS,一线,广告投放,玄幻,低,2026-02-01 14:18:49.331479,7,840,49,17,5,2,0.13259636550939485,0,0,,0,0,0,会员,3,0.46799999999999997,0,0,金币,会员,73.87857142857142,高价值用户,高价值补贴策略,10.495752984833135,会员
66,37,女,Android,一线,社交分享,"悬疑,都市,玄幻",中,2026-01-31 14:18:49.331494,1,116,4,19,4,0,0.657318799928265,0,0,,1,0,0,会员,4,0.4,0,0,金币,金币,21.428571428571395,中价值用户,中价值补贴策略,3.0443061930290396,金币
67,25,女,iOS,四线及以下,社交分享,职场,中,2026-01-31 14:18:49.331507,6,468,18,12,7,1,0.3412726620953812,0,0,,0,0,0,会员,2,0.78,0,0,金币,会员,69.73571428571421,高价值用户,高价值补贴策略,9.90718712084751,会员
68,38,男,Android,一线,广告投放,"科幻,言情",高,2026-01-30 14:18:49.331520,5,155,5,8,6,3,0.20326133592841933,1,57,2026-01-30 21:18:49.331520,0,0,0,无,0,1.0,0,1,金币,会员,142.7214285714287,高价值用户,高价值补贴策略,20.276094014304466,会员
69,42,男,Android,四线及以下,社交分享,玄幻,中,2026-02-01 14:18:49.331535,2,98,18,9,6,0,0.17172114078786407,0,0,,1,0,0,内容解锁,1,0.4,0,0,金币,会员,27.857142857142826,中价值用户,中价值补贴策略,3.9575980509377535,会员
70,32,女,iOS,一线,社交分享,玄幻,高,2026-01-30 14:18:49.331547,0,0,0,10,0,1,0.6333904907045576,0,0,,1,0,0,无,0,1.0,0,0,金币,金币,20.0,中价值用户,中价值补贴策略,2.8413524468271083,金币
71,44,女,iOS,二线,应用商店,"科幻,玄幻",高,2026-02-01 14:18:49.331560,6,234,24,14,4,2,0.7403273182858295,0,0,,0,0,0,金币,927,0.728,0,0,金币,会员,71.34285714285723,高价值用户,高价值补贴策略,10.13551008532471,会员
72,19,男,Android,一线,自然搜索,悬疑,低,2026-02-02 14:18:49.331573,3,276,18,15,7,2,0.7817334569707759,1,40,2026-02-06 02:18:49.331573,0,0,0,金币,124,0.46799999999999997,0,1,金币,会员,185.22857142857134,高价值用户,高价值补贴策略,26.31498273254305,会员
73,20,女,iOS,一线,广告投放,职场,中,2026-01-31 14:18:49.331587,1,18,6,14,10,0,0.4224861505159827,0,0,,1,1,0,会员,5,0.6,0,0,金币,金币,68.37857142857143,高价值用户,高价值补贴策略,9.714381061955683,金币
74,25,男,iOS,四线及以下,应用商店,历史,低,2026-02-01 14:18:49.331600,3,315,12,5,6,2,0.5180919379239266,0,0,,0,0,0,内容解锁,3,0.46799999999999997,0,0,金币,会员,25.13571428571426,中价值用户,中价值补贴策略,3.570971164423066,会员
75,20,女,iOS,四线及以下,自然搜索,"玄幻,悬疑",中,2026-02-04 14:18:49.331613,7,266,63,11,1,3,0.5459091028893808,0,0,,1,0,0,金币,706,0.78,0,0,金币,会员,60.0,高价值用户,高价值补贴策略,8.524057340481324,会员
76,35,女,Android,三线,广告投放,"军事,悬疑,科幻",中,2026-02-04 14:18:49.331626,5,555,30,20,7,2,0.6545456706317727,0,0,,1,0,0,无,0,1.0,0,0,金币,会员,72.41428571428567,高价值用户,高价值补贴策略,10.287725394976144,会员
77,50,女,iOS,四线及以下,自然搜索,"军事,悬疑",低,2026-02-01 14:18:49.331639,5,465,40,11,8,5,0.626913480990247,0,0,,1,1,0,会员,1,0.312,0,0,金币,会员,50.89285714285717,高价值用户,高价值补贴策略,7.230227208443984,会员
78,45,男,Android,三线,自然搜索,悬疑,低,2026-02-04 14:18:49.331653,3,39,18,4,10,5,0.3715248274393729,0,0,,0,0,0,内容解锁,1,0.312,0,0,金币,金币,35.407142857142794,中价值用户,中价值补贴策略,5.030208599614983,金币
79,35,女,Android,四线及以下,社交分享,"言情,都市",高,2026-02-03 14:18:49.331670,6,276,12,20,10,0,0.6685677127927394,0,0,,1,0,0,金币,211,0.728,0,0,金币,会员,180.0142857142855,高价值用户,高价值补贴策略,25.574201558905965,会员
80,25,男,Android,四线及以下,应用商店,科幻,低,2026-01-31 14:18:49.331688,6,510,18,0,5,3,0.4936525003452277,1,49,2026-02-06 19:18:49.331688,0,0,0,内容解锁,5,0.46799999999999997,0,0,金币,会员,39.28571428571433,中价值用户,中价值补贴策略,5.5812280205532545,会员
81,31,女,Android,一线,广告投放,都市,中,2026-02-02 14:18:49.331705,6,558,18,5,0,3,0.17467952628818978,0,0,,1,0,0,内容解锁,5,0.52,0,0,金币,会员,72.56428571428563,高价值用户,高价值补贴策略,10.309035538327343,会员
82,47,男,iOS,一线,应用商店,悬疑,高,2026-02-02 14:18:49.331719,2,20,6,3,10,2,0.4957664626964986,0,0,,1,0,0,金币,196,0.5599999999999999,0,0,金币,金币,51.657142857142844,高价值用户,高价值补贴策略,7.338807462662015,金币
83,18,女,Android,二线,广告投放,"都市,言情,科幻",高,2026-02-01 14:18:49.331732,6,78,12,10,6,0,0.18289948467512435,0,0,,0,0,0,内容解锁,1,1.0919999999999999,0,0,金币,会员,100.1071428571427,高价值用户,高价值补贴策略,14.221983765100665,会员
84,27,男,Android,三线,广告投放,玄幻,中,2026-02-03 14:18:49.331747,1,108,2,2,9,4,0.6903591346334276,0,0,,0,0,0,内容解锁,1,0.6,0,0,金币,会员,23.54285714285712,中价值用户,中价值补贴策略,3.3446777374079066,会员
85,41,女,Android,一线,自然搜索,"言情,职场",中,2026-01-29 14:18:49.331760,3,51,12,7,8,4,0.7004226528868186,0,0,,0,0,0,金币,559,0.52,0,0,金币,金币,37.87142857142852,中价值用户,中价值补贴策略,5.380303811813324,金币
86,38,女,iOS,二线,社交分享,"玄幻,军事",中,2026-02-02 14:18:49.331774,3,57,3,19,8,4,0.5656280501679144,0,0,,0,0,0,金币,662,0.52,0,0,金币,会员,52.742857142857176,高价值用户,高价值补贴策略,7.493052309775494,会员
87,45,男,Android,三线,广告投放,"历史,言情,职场",中,2026-01-29 14:18:49.331788,3,189,30,9,5,0,0.37396256284041207,0,0,,1,1,0,内容解锁,1,0.52,0,0,金币,会员,48.05714285714291,中价值用户,中价值补贴策略,6.827364022233145,会员
88,34,女,Android,四线及以下,自然搜索,军事,高,2026-01-31 14:18:49.331802,7,742,28,16,5,5,0.7409260975220283,0,0,,1,1,0,会员,2,0.728,0,0,金币,会员,112.0,高价值用户,高价值补贴策略,15.911573702231806,会员
89,27,男,iOS,三线,应用商店,历史,高,2026-02-04 14:18:49.331816,0,0,0,4,2,2,0.20838996571291485,0,0,,1,1,0,会员,5,0.588,0,0,金币,金币,20.0,中价值用户,中价值补贴策略,2.8413524468271083,金币
90,36,女,Android,三线,应用商店,"都市,军事,科幻",高,2026-02-02 14:18:49.331830,1,98,10,18,3,1,0.3258768482454155,0,0,,0,0,0,无,0,1.0,0,0,金币,会员,33.47857142857139,中价值用户,中价值补贴策略,4.756221042242372,会员
91,45,女,Android,二线,自然搜索,"都市,历史",低,2026-01-31 14:18:49.331844,7,308,21,3,10,0,0.6790833698212896,0,0,,0,0,0,金币,532,0.312,0,0,金币,会员,47.06428571428572,中价值用户,中价值补贴策略,6.686311168622792,会员
92,29,女,Android,二线,自然搜索,"玄幻,军事,言情",中,2026-01-31 14:18:49.331858,5,535,10,12,9,0,0.7896804771171146,0,0,,1,1,1,金币,370,0.78,1,0,金币,会员,281.48571428571375,高价值用户,高价值补贴策略,39.99000615162945,会员
93,35,男,iOS,四线及以下,广告投放,"军事,职场",高,2026-02-01 14:18:49.331873,4,80,8,16,10,0,0.30324871361825634,0,0,,0,0,0,无,0,1.0,0,0,金币,会员,98.95000000000003,高价值用户,高价值补贴策略,14.05759123067712,会员
94,44,女,Android,四线及以下,社交分享,"悬疑,言情",中,2026-01-30 14:18:49.331887,0,0,0,11,4,1,0.3728721513361397,0,0,,1,0,0,内容解锁,3,0.27999999999999997,0,0,金币,会员,18.0,低价值用户,低价值补贴策略,2.5572172021443973,会员
95,41,男,iOS,四线及以下,自然搜索,玄幻,低,2026-02-02 14:18:49.331901,1,99,3,16,5,2,0.46779147476617744,0,0,,1,0,0,金币,882,0.24,0,0,金币,金币,14.285714285714272,低价值用户,低价值补贴策略,2.0295374620193614,金币
96,22,女,Android,三线,社交分享,"悬疑,历史,都市",低,2026-02-04 14:18:49.331915,3,195,27,12,2,0,0.4792877398674483,0,0,,1,1,1,无,0,1.0,1,0,金币,会员,147.7285714285713,高价值用户,高价值补贴策略,20.987446894742217,会员
97,22,女,Android,四线及以下,应用商店,"职场,军事,历史",低,2026-02-04 14:18:49.331929,5,350,25,3,7,4,0.7007682741233267,0,0,,0,0,0,无,0,1.0,0,0,金币,会员,31.385714285714304,中价值用户,中价值补贴策略,4.458893804056543,会员
98,37,女,Android,四线及以下,社交分享,"职场,历史,科幻",中,2026-02-01 14:18:49.331943,6,186,60,9,8,5,0.657079328171463,0,0,,0,0,0,内容解锁,5,0.52,0,0,金币,会员,53.63571428571422,高价值用户,高价值补贴策略,7.61989840115169,会员
99,39,女,Android,二线,社交分享,"职场,历史,悬疑",高,2026-02-01 14:18:49.331957,7,105,35,8,3,2,0.3131460543008397,0,0,,0,0,0,会员,4,0.728,0,0,金币,会员,199.65714285714287,高价值用户,高价值补贴策略,28.364815569182618,会员
100,33,女,Android,三线,广告投放,玄幻,低,2026-01-29 14:18:49.331971,1,85,3,3,9,1,0.496505838364133,1,23,2026-02-01 07:18:49.331971,1,0,0,会员,3,0.24,0,0,金币,内容解锁,19.999999999999968,低价值用户,低价值补贴策略,2.841352446827104,内容解锁
101,38,女,iOS,三线,社交分享,职场,低,2026-02-03 14:18:49.331987,1,115,10,18,7,1,0.732345042149713,0,0,,1,0,0,无,0,1.0,0,0,金币,会员,15.71428571428569,低价值用户,低价值补贴策略,2.232491208221296,会员
102,34,女,iOS,一线,应用商店,"言情,军事,玄幻",低,2026-02-01 14:18:49.332001,4,348,24,1,8,4,0.551385778548212,0,0,,0,0,0,无,0,1.0,0,0,金币,会员,44.73571428571436,中价值用户,中价值补贴策略,6.355496562313646,会员
